form_date,ic,era
2013-05-31,-0.0850057691765799,2010-2023
2013-06-30,0.03808902305250038,2010-2023
2013-07-31,0.06707082893029316,2010-2023
2013-08-31,0.030502005260458268,2010-2023
2013-09-30,0.014299372121700337,2010-2023
2013-10-31,0.043083958010831924,2010-2023
2013-11-30,-0.04082591711473992,2010-2023
2013-12-31,0.037194064511279205,2010-2023
2014-01-31,0.00899093430400454,2010-2023
2014-02-28,0.05851152908157752,2010-2023
2014-03-31,0.12683499197671147,2010-2023
2014-04-30,-0.009846100349653818,2010-2023
2014-05-31,-0.08373656651448146,2010-2023
2014-06-30,0.09324657809665736,2010-2023
2014-07-31,-0.001568995973299715,2010-2023
2014-08-31,-0.023926014949790297,2010-2023
2014-09-30,0.004288222393727022,2010-2023
2014-10-31,0.08632788719230462,2010-2023
2014-11-30,0.0620355124153876,2010-2023
2014-12-31,-0.020211553279028915,2010-2023
2015-01-31,-0.04802523031457779,2010-2023
2015-02-28,0.0024396516215360563,2010-2023
2015-03-31,0.012712117207576687,2010-2023
2015-04-30,-0.10016392478995767,2010-2023
2015-05-31,-0.04767247185861581,2010-2023
2015-06-30,0.02004392000879545,2010-2023
2015-07-31,0.10900430710193883,2010-2023
2015-08-31,0.15347921188703864,2010-2023
2015-09-30,0.12390264880109444,2010-2023
2015-10-31,-0.049714242862545055,2010-2023
2015-11-30,-0.024893001379580407,2010-2023
2015-12-31,-0.009742402661527464,2010-2023
2016-01-31,0.05345944647028537,2010-2023
2016-02-29,-0.01325701247959941,2010-2023
2016-03-31,-0.11913562470875211,2010-2023
2016-04-30,-0.07183703064014377,2010-2023
2016-05-31,-0.0294517109565441,2010-2023
2016-06-30,0.06271795575674087,2010-2023
2016-07-31,-0.06610570149065916,2010-2023
2016-08-31,0.009446631654367635,2010-2023
2016-09-30,-0.07072191479265215,2010-2023
2016-10-31,0.005872703721127982,2010-2023
2016-11-30,-0.02610064319043175,2010-2023
2016-12-31,-0.013463452058116044,2010-2023
2017-01-31,-0.05916139367105548,2010-2023
2017-02-28,-0.0259347570697703,2010-2023
2017-03-31,0.09111091999823683,2010-2023
2017-04-30,-0.008827757582766323,2010-2023
2017-05-31,0.016005875858836987,2010-2023
2017-06-30,-0.03556312111743698,2010-2023
2017-07-31,0.07779550663533208,2010-2023
2017-08-31,-0.03845088604660018,2010-2023
2017-09-30,-0.009484565350551843,2010-2023
2017-10-31,0.07970919965481595,2010-2023
2017-11-30,0.06667627757995048,2010-2023
2017-12-31,0.016338616542240603,2010-2023
2018-01-31,0.011493982783492425,2010-2023
2018-02-28,-0.002503617376482912,2010-2023
2018-03-31,-0.023312322415098747,2010-2023
2018-04-30,0.016082357175675906,2010-2023
2018-05-31,-0.040464075327662004,2010-2023
2018-06-30,0.039591968218349274,2010-2023
2018-07-31,0.004189932624726846,2010-2023
2018-08-31,-0.09830609200002573,2010-2023
2018-09-30,0.08589824466758311,2010-2023
2018-10-31,0.01278053731736279,2010-2023
2018-11-30,0.013969935209716905,2010-2023
2018-12-31,-5.138939364191077e-4,2010-2023
2019-01-31,-0.08175676228094962,2010-2023
2019-02-28,-0.1404090344083025,2010-2023
2019-03-31,0.08971412986246324,2010-2023
2019-04-30,-0.13185663788737545,2010-2023
2019-05-31,0.05964933260811417,2010-2023
2019-06-30,0.04660703449139305,2010-2023
2019-07-31,-0.08781185182051802,2010-2023
2019-08-31,0.2535919282273531,2010-2023
2019-09-30,0.020695281586081315,2010-2023
2019-10-31,-0.04276404899835822,2010-2023
2019-11-30,5.760969096816851e-4,2010-2023
2019-12-31,-0.23160038924896675,2010-2023
2020-01-31,-0.12163272462801725,2010-2023
2020-02-29,-0.12175266536127735,2010-2023
2020-03-31,0.027681551055322422,2010-2023
2020-04-30,-0.08557082523371766,2010-2023
2020-05-31,-0.016046440450498845,2010-2023
2020-06-30,0.01704220306249649,2010-2023
2020-07-31,-0.05733469725198045,2010-2023
2020-08-31,-0.08756237446748256,2010-2023
2020-09-30,0.08558677906819034,2010-2023
2020-10-31,0.01226955590817668,2010-2023
2020-11-30,0.03184582942038046,2010-2023
2020-12-31,-1.2985580943574915e-5,2010-2023
2021-01-31,0.11680473489630959,2010-2023
2021-02-28,0.26676844929069876,2010-2023
2021-03-31,0.09049435795807746,2010-2023
2021-04-30,0.22442730334275754,2010-2023
2021-05-31,-0.148879707028998,2010-2023
2021-06-30,0.24623757664928164,2010-2023
2021-07-31,0.0062953035529743,2010-2023
2021-08-31,0.0735050084401777,2010-2023
2021-09-30,0.06322636752754614,2010-2023
2021-10-31,0.22307366013540872,2010-2023
2021-11-30,0.2705305532868411,2010-2023
2021-12-31,0.33359649989376244,2010-2023
2022-01-31,0.0018012908613606886,2010-2023
2022-02-28,-0.05594048767380264,2010-2023
2022-03-31,0.3412889924253291,2010-2023
2022-04-30,0.29948032097440547,2010-2023
2022-05-31,-0.007996539589058948,2010-2023
2022-06-30,-0.06124676414417104,2010-2023
2022-07-31,-0.0902934604604404,2010-2023
2022-08-31,0.03426974349348234,2010-2023
2022-09-30,0.2528439290269362,2010-2023
2022-10-31,0.24355366011278876,2010-2023
2022-11-30,0.06020531650816614,2010-2023
2022-12-31,-0.12265678662061082,2010-2023
2023-01-31,0.05839455726195887,2010-2023
2023-02-28,-0.10039393677056918,2010-2023
2023-03-31,0.023236638366838914,2010-2023
2023-04-30,-0.20232701257128297,2010-2023
2023-05-31,0.10940412044224368,2010-2023
2023-06-30,0.17220468860263835,2010-2023
2023-07-31,0.03368101512303132,2010-2023
2023-08-31,0.134197965526239,2010-2023
2023-09-30,0.06769053622039294,2010-2023
2023-10-31,0.044160952291389347,2010-2023
2023-11-30,0.01846359659271152,2010-2023
2023-12-31,0.043206604100504246,2010-2023
