month_date,gross_ret,n_cohorts,n_positions,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2011-10-31,0.14460629333333333,6,900,6.666666666666666e-4,0.14393962666666665,0.15661420106761564,119702.24099597738,118451.11860744514,124971.75092333346,133143.43311227267,-0.1103495242791156,-0.01267457440094899
2011-11-30,-0.00904785111111111,6,900,6.666666666666666e-4,-0.009714517777777777,0.004300185566530296,118619.19294177943,117300.42310993547,125509.152642878,133143.43311227267,-0.11899204964151444,-0.014014703344308073
2011-12-31,0.008962102222222223,6,900,6.666666666666666e-4,0.008295435555555557,0.004114134684147793,119682.27027444115,118273.48121048333,126025.51420094408,133143.43311227267,-0.1116837049653836,0.004181300871407763
2012-01-31,0.06204869777777778,6,900,6.666666666666666e-4,0.06138203111111111,0.07570451413427562,127108.3992920583,125533.34771376463,135566.2145220488,133143.43311227267,-0.05715704650706188,-0.014322483023164509
2012-02-29,0.05600004,6,900,6.666666666666666e-4,0.05533337333333333,0.043332796939376104,134226.47473674954,132479.53130859352,141440.67776777263,133143.43311227267,-0.004986365366734358,0.012000576393957227
2012-03-31,0.014370711111111113,6,900,6.666666666666666e-4,0.013704044444444447,0.027130913467702467,136155.4046286542,134295.03669362568,145278.09255710326,134295.03669362568,0,-0.01342686902325802
2012-04-30,-0.019550856666666668,6,900,6.666666666666666e-4,-0.020217523333333334,-0.0075152288827690025,133493.4498283674,131579.92365572145,144186.29443988454,134295.03669362568,-0.020217523333333265,-0.012702294450564332
2012-05-31,-0.08691886666666666,6,900,6.666666666666666e-4,-0.08758553333333333,-0.06650135357142857,121890.35046186218,120055.4258663758,134597.71069318368,134295.03669362568,-0.10603229410283754,-0.021084179761904756
2012-06-30,0.03903200666666667,6,900,6.666666666666666e-4,0.03836534,0.040515424296592266,126647.97543369193,124661.3930985841,140050.99405126795,134295.03669362568,-0.07173491911707286,-0.002150084296592268
2012-07-31,-0.02150753777777778,6,900,6.666666666666666e-4,-0.022174204444444446,-0.0025926361830000003,123924.08931757273,121897.12588168685,139687.89277662552,134295.03669362568,-0.09231845879920964,-0.019581568261444447
2012-08-31,0.04101998222222222,6,900,6.666666666666666e-4,0.040353315555555554,0.03967206579727327,129007.45325828462,126816.07906770582,145229.60004994227,134295.03669362568,-0.05569049914318125,6.81249758282286e-4
2012-09-30,0.02768415111111111,6,900,6.666666666666666e-4,0.027017484444444444,0.03436141736775161,132578.91508874655,130242.330511223,150219.89495140995,134295.03669362568,-0.030177631893041013,-0.007343932923307168
2012-10-31,0.0010523933333333331,6,900,6.666666666666666e-4,3.857266666666665e-4,-0.009938178211959742,132718.4402551265,130292.56845123,148726.98286440098,134295.03669362568,-0.029803545543732324,0.010323904878626408
2012-11-30,0.018419763333333332,6,900,6.666666666666666e-4,0.017753096666666666,0.018781990903543887,135163.0825145951,132605.66501389295,151520.37170367167,134295.03669362568,-0.012579554102113089,-0.0010288942368772216
2012-12-31,0.03650770666666667,6,900,6.666666666666666e-4,0.03584104,0.03245946021377673,140097.57668320037,137358.3899578825,156438.64118056366,137358.3899578825,0,0.0033815797862232697
2013-01-31,0.07241059444444445,6,900,6.666666666666666e-4,0.07174392777777779,0.0717091415095136,150242.12549105703,147213.02036669265,167656.72183853673,147213.02036669265,0,3.478626826418363e-5
2013-02-28,0.003879193333333334,6,900,6.666666666666666e-4,0.0032125266666666675,0.01814271225691761,150824.94374264777,147685.9461203012,170698.46950079137,147685.9461203012,0,-0.014930185590250944
2013-03-31,0.052397401666106666,6,900,6.666666666666666e-4,0.051730734999439996,0.05068343960245962,158727.77890119923,155325.8486621921,179350.05506996703,155325.8486621921,0,0.0010472953969803758
2013-04-30,0.013836046666666667,6,900,6.666666666666666e-4,0.013169380000000001,0.005486964075382804,160923.94385737256,157371.39378704695,180334.14237905387,157371.39378704695,0,0.007682415924617198
2013-05-31,0.06397222111111112,6,900,6.666666666666666e-4,0.06330555444444445,0.048153101704879485,171218.60597588844,167333.877124431,189017.79067789466,167333.877124431,0,0.015152452739564969
