form_date,gross_ret,n_held,med_mktcap,turnover,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2012-03-31,-0.03583263999999999,25,2081.86855,0.92,0.0036800000000000005,-0.039512639999999995,-0.012098290055069672,3566.0509171501312,3398.8300326227804,3611.2599792044693,3699.264535150411,-0.0812146575820415,-0.027414349944930323
2012-04-30,-0.11517564,25,2255.553,0.36,0.0014399999999999999,-0.11661563999999999,-0.0735489209439528,3155.328720494778,3002.473293117254,3345.655704485899,3699.264535150411,-0.1883593983107309,-0.0430667190560472
2012-05-31,0.05961856,25,2730.9326,0.31999999999999995,0.0012799999999999997,0.058338560000000005,0.03712129741034698,3343.4448751373193,3177.6332614761723,3469.850784924744,3699.264535150411,-0.1410094543706455,0.02121726258965302
2012-06-30,-0.09065424,25,2027.82269,0.43999999999999995,0.0017599999999999998,-0.09241424,-0.009454388723568605,3040.3474209998503,2883.9746986181303,3437.045466791286,3699.264535150411,-0.2203924128121676,-0.08295985127643139
2012-07-31,0.044652080000000004,25,2185.236,0.4,0.0016,0.043052080000000006,0.03428400582411182,3176.1052572701296,3008.135808061014,3554.8811535924956,3699.264535150411,-0.18682868459995006,0.008768074175888187
2012-08-31,0.02727972,25,2045.43123,0.24,9.599999999999999e-4,0.02631972,0.03085003077861033,3262.7485193789867,3087.3091002511537,3664.5493465951263,3699.264535150411,-0.16542624326658906,-0.004530310778610328
2012-09-30,0.010679239999999998,25,1912.24,0.28,0.0011200000000000001,0.009559239999999998,-0.013817288574793874,3297.59219387708,3116.8214288946383,3613.9152107766486,3699.264535150411,-0.15744835242827282,0.023376528574793873
2012-10-31,0.0036189199999999964,25,1689.66124,0.24,9.599999999999999e-4,0.0026589199999999965,0.014155913868967033,3309.5259162193456,3125.1088077283553,3665.0734832301528,3699.264535150411,-0.15520807500151135,-0.011496993868967036
2012-11-30,0.06271704,25,1867.26177,0.24,9.599999999999999e-4,0.06175704,0.029028798094103633,3517.089585487911,3318.1062773715876,3771.466161374894,3699.264535150411,-0.1030362262977026,0.03272824190589636
2012-12-31,0.0630194,25,2136.0012800000004,0.24,9.599999999999999e-4,0.0620594,0.06691521318516548,3738.7344609116076,3524.0259620815023,4023.8346235839326,3699.264535150411,-0.04737119268000223,-0.004855813185165481
2013-01-31,0.0024948399999999947,25,1953.62114,0.64,0.00256,-6.516000000000551e-5,0.013885992640651653,3748.062005194068,3523.796336549813,4079.7095615542185,3699.264535150411,-0.04743326597308717,-0.013951152640651658
2013-02-28,0.09458528000000001,25,1967.26205,0.28,0.0011200000000000001,0.09346528000000001,0.046726405866276396,4102.573499412711,3853.148947808416,4270.339726343929,3853.148947808416,0,0.046738874133723615
2013-03-31,0.014537799999999997,25,1152.61524,0.72,0.0028799999999999997,0.011657799999999996,1.602498512790162e-5,4162.215892432472,3898.068187612177,4270.408158474535,3898.068187612177,0,0.011641775014872095
2013-04-30,0.0674066,25,1044.50342,0.36,0.0014399999999999999,0.0659666,0.04482586882352941,4442.776714207311,4155.210492517114,4461.832914409244,4155.210492517114,0,0.02114073117647059
