n_side,min_cap,hold_mo,cost_bps,sector_neutral,n_months,ann_ret,ann_vol,sharpe,capm_a,capm_t,beta,ff6_a,ff6_t
50,2000,6,50,FALSE,175,0.12331657671190821,0.22881079235922064,0.5710838897075481,-0.056272964066542766,-1.86033954336191,1.3395508320422933,-0.00427672535325386,-0.19557922958709403
50,2000,12,20,FALSE,169,0.1107659130806884,0.22015806450342057,0.5317765246803707,-0.04960112116579184,-1.6709178074258029,1.3001849063150561,0.0013989787910728057,0.06777165145084559
50,2000,12,50,FALSE,169,0.10416442630022238,0.22015806450342057,0.5045233781125475,-0.05560112116579184,-1.8730403927408519,1.3001849063150561,-0.0046010212089272,-0.22289030232563023
100,100,1,20,FALSE,180,0.07945473713953755,0.2520103268153965,0.3826097956067006,-0.09425009593466055,-2.629510324215362,1.4177038433251508,-0.03578756288246888,-1.6490257262076582
100,100,1,50,FALSE,180,0.004520388217556848,0.2520103268153965,0.0969072178201098,-0.16625009593466067,-4.638258872065721,1.4177038433251508,-0.10778756288246899,-4.9666546096517825
100,100,3,20,FALSE,178,0.09212696545423604,0.2478112204244328,0.4324534137706912,-0.07290381665568911,-2.0570996873824217,1.3908084366921412,-0.011194964251436401,-0.5437825059453396
100,100,3,50,FALSE,178,0.06632493190639477,0.24781122042443274,0.3356054988179521,-0.09690381665568919,-2.734298697831288,1.3908084366921412,-0.03519496425143647,-1.7095548880245117
100,100,6,20,FALSE,175,0.11539553450851514,0.24408522202194557,0.5218835703616961,-0.06585331482273059,-1.8588317772315486,1.3846526894863882,-0.0014780984380618708,-0.07573480451619582
100,100,6,50,FALSE,175,0.10217148817155519,0.24408522202194563,0.4727204137371582,-0.07785331482273036,-2.197554002328695,1.384652689486388,-0.013478098438061647,-0.6905907781048042
100,100,12,20,FALSE,169,0.09122312918046704,0.23859484096904537,0.43424144417320293,-0.06997369784074343,-1.945816197639368,1.3540520928079431,-0.007190791714536276,-0.3679014823866477
100,100,12,50,FALSE,169,0.08472561908248188,0.23859484096904537,0.40909421141816443,-0.07597369784074343,-2.112663135075884,1.3540520928079431,-0.013190791714536253,-0.6748786529056565
100,500,1,20,FALSE,180,0.07574652157542872,0.24987231512307334,0.37038885075376077,-0.09677955289816415,-2.7337866682899787,1.4077238465236004,-0.03826000041161229,-1.8271608436039408
100,500,1,50,FALSE,180,0.001050743622203365,0.24987231512307334,0.08224168261095646,-0.16877955289816418,-4.767611316395088,1.4077238465236004,-0.11026000041161235,-5.265623450090359
100,500,3,20,FALSE,178,0.09017946466491833,0.24711868892450958,0.42584398443364513,-0.07441115381525629,-2.1081896189428107,1.387522287876857,-0.012351987353915288,-0.6074736479693386
100,500,3,50,FALSE,178,0.06441987714183339,0.24711868892450953,0.32872466049885557,-0.09841115381525634,-2.7881488489830506,1.3875222878768572,-0.03635198735391536,-1.7877993019332605
100,500,6,20,FALSE,175,0.1159237392867285,0.2434404421069826,0.5246538324065223,-0.06536555628251875,-1.8590087552391008,1.3835788255625954,-8.286558559589479e-4,-0.043189576085822835
100,500,6,50,FALSE,175,0.10269409074285374,0.2434404421069826,0.4753604615264018,-0.07736555628251879,-2.200291019654485,1.3835788255625954,-0.01282865585595898,-0.6686300521325534
100,500,12,20,FALSE,169,0.09183865112390288,0.23805153312849883,0.43714869646340304,-0.06956751498867458,-1.9510996230782676,1.3544418629938049,-0.006888825763215843,-0.35826159374370314
100,500,12,50,FALSE,169,0.08533783465894529,0.23805153312849883,0.4119440698804638,-0.07556751498867455,-2.119376407729485,1.3544418629938049,-0.012888825763215796,-0.6702987443913833
100,2000,1,20,FALSE,180,0.07488364207031406,0.21647104969547457,0.38934617651475856,-0.08924598771243507,-3.5104257363282176,1.2902361696057127,-0.05096201880002951,-2.8659569170362493
100,2000,1,50,FALSE,180,2.871145711162981e-4,0.21647104969547457,0.05673818989812992,-0.161245987712435,-6.3424931434371485,1.2902361696057127,-0.1229620188000295,-6.915029204307773
100,2000,3,20,FALSE,178,0.10405041438846152,0.21739888823794026,0.5115940471411312,-0.05676288575839826,-2.2378738157908025,1.2974463935092015,-0.015247852287227833,-0.8732466344638805
100,2000,3,50,FALSE,178,0.07800482578189438,0.21739888823794026,0.40119789840953196,-0.08076288575839813,-3.184072566283902,1.2974463935092018,-0.03924785228722775,-2.247729993322767
100,2000,6,20,FALSE,175,0.12301434641982056,0.21387831637491478,0.5956823061379393,-0.053320166784709536,-2.1388837567999994,1.2949852068293133,-0.011207362843718663,-0.6724113489725573
100,2000,6,50,FALSE,175,0.10971519397025875,0.21387831637491478,0.5395756366849932,-0.06532016678470953,-2.6202514386610454,1.2949852068293133,-0.02320736284371865,-1.392378775760478
100,2000,12,20,FALSE,169,0.11054329060755919,0.20813274419284808,0.5502298037521581,-0.04846267594921931,-1.955252407094501,1.2713809508974616,-0.006618160664349922,-0.41596573963500366
100,2000,12,50,FALSE,169,0.1039441990456158,0.20813274419284808,0.521402047584966,-0.054462675949219254,-2.197325594610179,1.2713809508974616,-0.012618160664349875,-0.7930787419309604
150,100,1,20,FALSE,180,0.0869766096024347,0.23995161446505936,0.419694591347164,-0.0850750444652822,-2.6565578226545505,1.3813431092591018,-0.03238219634158387,-1.8389097676733226
150,100,1,50,FALSE,180,0.011577712224222658,0.23995161446505936,0.1196340972324878,-0.15707504446528217,-4.904833617669653,1.3813431092591015,-0.10438219634158385,-5.9276226479190255
150,100,3,20,FALSE,178,0.09789441118480391,0.23777575355761948,0.46357261629234797,-0.06650253666473868,-2.080084121004062,1.3649977410463654,-0.01091742213513956,-0.6367647536765515
150,100,3,50,FALSE,178,0.07197188179422542,0.23777575355761948,0.3626371775820923,-0.0905025366647386,-2.830762537314266,1.3649977410463654,-0.03491742213513949,-2.0365781802407183
150,100,6,20,FALSE,175,0.11896292539845699,0.23409215251153584,0.5480959020351266,-0.06130703749063897,-1.92038477156516,1.3586747298233945,-0.0037962700807815304,-0.23311094564862284
150,100,6,50,FALSE,175,0.10570259606392085,0.23409215251153584,0.4968340384004256,-0.07330703749063888,-2.296273384064181,1.3586747298233945,-0.015796270080781466,-0.969974047656259
150,100,12,20,FALSE,169,0.09675858754249389,0.22932913902988578,0.4648247669304626,-0.06454915225740894,-1.9934408842692177,1.3350617443913775,-0.00821659227200144,-0.5080751753144966
150,100,12,50,FALSE,169,0.09023200376918572,0.22932913902988578,0.4386614977297787,-0.07054915225740888,-2.1787360413290435,1.3350617443913777,-0.014216592272001371,-0.8790867761060722
150,500,1,20,FALSE,180,0.08456949568076677,0.23876160698269852,0.4115037403759831,-0.08689473630332728,-2.740461133559772,1.376618647528166,-0.03412731898859955,-1.989309244893149
150,500,1,50,FALSE,180,0.00932517850855663,0.23876160698269847,0.10994772008492629,-0.15889473630332734,-5.011176369147045,1.376618647528166,-0.10612731898859959,-6.1862479402578145
150,500,3,20,FALSE,178,0.09753830204752756,0.2374284879633033,0.46259242244140863,-0.0670737569898856,-2.11716053970042,1.3663687840853376,-0.011919137134162157,-0.7028358422615233
150,500,3,50,FALSE,178,0.07162360386745603,0.2374284879633033,0.36150935441585064,-0.09107375698988558,-2.87471245319279,1.3663687840853378,-0.03591913713416216,-2.1180440091287376
