model,form_date,ic
random_forest,2018-09-30,0.012730622817930736
random_forest,2018-10-31,-0.014928831356586422
random_forest,2018-11-30,-0.029561846440351532
random_forest,2018-12-31,-9.01432778331628e-4
random_forest,2019-01-31,-0.10585908048651914
random_forest,2019-02-28,-0.1317424161565692
random_forest,2019-03-31,-0.21851083463910637
random_forest,2019-04-30,-0.2384964228852364
random_forest,2019-05-31,-0.2291175342884274
random_forest,2019-06-30,-0.2458594760218776
random_forest,2019-07-31,-0.2508986472666605
random_forest,2019-08-31,-0.21232928218648142
random_forest,2019-09-30,-0.30304071821166856
random_forest,2019-10-31,-0.3012481824924984
random_forest,2019-11-30,-0.27348325395283246
random_forest,2019-12-31,-0.27625933751479215
random_forest,2020-01-31,-0.15072638641671235
random_forest,2020-02-29,-0.0505829646859656
random_forest,2020-03-31,0.2318360793757154
random_forest,2020-04-30,0.20024913971023445
random_forest,2020-05-31,0.3070493975019302
random_forest,2020-06-30,0.255064330348312
random_forest,2020-07-31,0.27106231712059636
random_forest,2020-08-31,0.29204852865020187
random_forest,2020-09-30,0.35135920930139525
random_forest,2020-10-31,0.3289243063596252
random_forest,2020-11-30,0.3266201801431452
random_forest,2020-12-31,0.3839126504471734
random_forest,2021-01-31,0.3955400708018776
random_forest,2021-02-28,0.38686532973097143
random_forest,2021-03-31,0.3267972489093816
random_forest,2021-04-30,0.4047563195855887
random_forest,2021-05-31,0.396723128373538
random_forest,2021-06-30,0.4171780670010908
random_forest,2021-07-31,0.3992387652605239
random_forest,2021-08-31,0.3818764979172478
random_forest,2021-09-30,0.34793735683636495
random_forest,2021-10-31,0.38259101539419044
random_forest,2021-11-30,0.3729440982614082
random_forest,2021-12-31,0.3448460715818328
random_forest,2022-01-31,0.2194785213759501
random_forest,2022-02-28,0.2526037150577484
random_forest,2022-03-31,0.2673856320481062
random_forest,2022-04-30,0.17762360218625964
random_forest,2022-05-31,0.015690163036631212
random_forest,2022-06-30,0.060544165256176674
random_forest,2022-07-31,0.10456131190177535
random_forest,2022-08-31,0.17500201146266312
random_forest,2022-09-30,0.20532350679767492
random_forest,2022-10-31,0.18199478909023153
random_forest,2022-11-30,0.09469117500232259
random_forest,2022-12-31,0.0800903509639642
random_forest,2023-01-31,0.10425233029023889
random_forest,2023-02-28,0.05407599299058065
random_forest,2023-03-31,0.20829348766286054
random_forest,2023-04-30,0.20368824428944365
random_forest,2023-05-31,0.2913822647628313
random_forest,2023-06-30,0.2088193862730286
random_forest,2023-07-31,0.1395464427262818
random_forest,2023-08-31,0.09000973115810786
random_forest,2023-09-30,0.0517351406104823
random_forest,2023-10-31,0.014061543470913105
random_forest,2023-11-30,-0.011336716354606213
random_forest,2023-12-31,-0.03594077891167475
xgboost,2010-01-31,0.06258838764371864
xgboost,2010-02-28,0.07377789198611807
xgboost,2010-03-31,0.020343948358401164
xgboost,2010-04-30,0.017922997842614793
xgboost,2010-05-31,0.01873977896833079
xgboost,2010-06-30,0.059881063277511755
xgboost,2010-07-31,0.03531509117250526
xgboost,2010-08-31,0.02385465523196096
xgboost,2010-09-30,0.0345787492472809
xgboost,2010-10-31,0.02138984426819008
xgboost,2010-11-30,0.03450215920911193
xgboost,2010-12-31,0.08690852842293147
xgboost,2011-01-31,0.022277751013051413
xgboost,2011-02-28,0.1745903919895741
xgboost,2011-03-31,0.18023238187356413
xgboost,2011-04-30,0.18710578475359144
xgboost,2011-05-31,0.20575241638928446
xgboost,2011-06-30,0.16221775285310414
xgboost,2011-07-31,0.17857658552328434
xgboost,2011-08-31,0.08233718468859326
xgboost,2011-09-30,0.06560891463300324
xgboost,2011-10-31,0.13553544919798222
xgboost,2011-11-30,0.09443940344263921
xgboost,2011-12-31,0.03676230837181719
xgboost,2012-01-31,0.1054192252628773
xgboost,2012-02-29,0.008864208196011008
xgboost,2012-03-31,0.10330379804614648
xgboost,2012-04-30,0.12014313525433017
xgboost,2012-05-31,0.058101244635127065
xgboost,2012-06-30,0.05967535396319847
xgboost,2012-07-31,0.04296659752116549
xgboost,2012-08-31,0.04314051431929
xgboost,2012-09-30,0.014054349119246155
xgboost,2012-10-31,-0.02699200075458149
xgboost,2012-11-30,-0.024418115295236763
xgboost,2012-12-31,-0.001911171429755849
xgboost,2013-01-31,0.043779123481625985
xgboost,2013-02-28,0.04220113792335079
xgboost,2013-03-31,0.08742748917867305
xgboost,2013-04-30,0.10575853385518205
xgboost,2013-05-31,0.04928409667861299
xgboost,2013-06-30,0.07921802303024637
xgboost,2013-07-31,0.04042648411452532
xgboost,2013-08-31,0.05202603023722278
xgboost,2013-09-30,0.03123386380953412
xgboost,2013-10-31,0.049331539464355624
xgboost,2013-11-30,0.06414383732264871
xgboost,2013-12-31,0.06864957748208023
xgboost,2014-01-31,0.051745226657991424
xgboost,2014-02-28,0.03751314523163538
xgboost,2014-03-31,-0.023603149717494106
xgboost,2014-04-30,-0.08264516232594725
xgboost,2014-05-31,-0.0748799160015205
xgboost,2014-06-30,-0.054877449070919154
xgboost,2014-07-31,-0.07967549826871864
xgboost,2014-08-31,-0.06555678477972603
xgboost,2014-09-30,-0.06905403485919773
xgboost,2014-10-31,-0.04772592300230278
xgboost,2014-11-30,-0.08987969978693491
xgboost,2014-12-31,-0.13133445839312474
xgboost,2015-01-31,0.012493839504433989
xgboost,2015-02-28,0.03337663215457213
xgboost,2015-03-31,0.16203326792410339
xgboost,2015-04-30,0.16773169110950023
xgboost,2015-05-31,0.16651509167703213
xgboost,2015-06-30,0.16695242177966793
xgboost,2015-07-31,0.15658259797738006
xgboost,2015-08-31,0.13551630564622835
xgboost,2015-09-30,0.1075147167153641
xgboost,2015-10-31,0.015206209402037674
xgboost,2015-11-30,0.1362325694219394
xgboost,2015-12-31,0.19253469253361233
