feature,x,yhat
rk_net_margin,0.7749999999999999,0.055469318371952146
rk_net_margin,0.825,0.05598384547211578
rk_net_margin,0.875,0.05534101892038856
rk_net_margin,0.9249999999999999,0.05654086362896825
rk_net_margin,0.975,0.05139645806001743
rk_rev_growth,0.025,0.02737004753403948
rk_rev_growth,0.075,0.03421859014932738
rk_rev_growth,0.125,0.03731769406335377
rk_rev_growth,0.175,0.04310727909765231
rk_rev_growth,0.22499999999999998,0.04469753465333641
rk_rev_growth,0.27499999999999997,0.0450960153605826
rk_rev_growth,0.325,0.04973134052708353
rk_rev_growth,0.375,0.04950179594312229
rk_rev_growth,0.425,0.050616716514713445
rk_rev_growth,0.475,0.05080651685500585
rk_rev_growth,0.5249999999999999,0.05083952361659413
rk_rev_growth,0.575,0.05063852289042548
rk_rev_growth,0.625,0.04887834443351103
rk_rev_growth,0.6749999999999999,0.048093571845354205
rk_rev_growth,0.725,0.047783841421566775
rk_rev_growth,0.7749999999999999,0.047676263141871095
rk_rev_growth,0.825,0.048306301515506175
rk_rev_growth,0.875,0.04747682197050997
rk_rev_growth,0.9249999999999999,0.04491069840242106
rk_rev_growth,0.975,0.04009250059605772
