grp,avg_spread,t_stat,hit_rate,n_periods,feature
2 Mid,-0.0283016053242412,-4.670775469036256,0.43059490084985835,353,rev_growth
3 High vol,-0.02866233073402778,-2.668800130609494,0.480225988700565,354,rev_growth
1 Low vol,0.010681811439410972,3.036793533859159,0.5914285714285714,350,eps_growth
2 Mid,0.025787191172848823,4.652211013758904,0.6260623229461756,353,eps_growth
3 High vol,-0.02198039866795199,-1.9531319277074932,0.5113636363636364,352,eps_growth
1 Low vol,-0.008556512167009932,-2.4144541302431026,0.4828571428571429,350,asset_growth
2 Mid,-0.047889087454642175,-7.183689390454584,0.39660056657223797,353,asset_growth
3 High vol,-0.1187681034121955,-9.469290724429586,0.2853107344632768,354,asset_growth
1 Low vol,0.010003660637613215,2.5361329617878314,0.5689655172413793,348,fcf_growth
2 Mid,0.03599084263046312,6.06717992047255,0.6022727272727273,352,fcf_growth
3 High vol,0.013627247867882037,1.4628172520993372,0.5811965811965812,351,fcf_growth
1 Low vol,-0.004195379241721764,-1.149438825563931,0.4134078212290503,358,leverage
2 Mid,-0.02306224181226779,-3.1079481389468446,0.441340782122905,358,leverage
3 High vol,-0.0029038734851787114,-0.2208268491436177,0.5167597765363129,358,leverage
1 Low vol,-0.0028210739666547856,-0.5288879834217592,0.49441340782122906,358,current_ratio
2 Mid,-0.007847431461761685,-0.7873822681782363,0.4301675977653631,358,current_ratio
3 High vol,-0.030449097352037994,-2.0558825965676384,0.40502793296089384,358,current_ratio
1 Low vol,0.007648817655910757,1.2972035093946301,0.5251396648044693,358,cash_ratio
2 Mid,-0.016408985011368095,-1.3914659521468242,0.4329608938547486,358,cash_ratio
3 High vol,-0.024279340696372012,-1.3457646619796315,0.4134078212290503,358,cash_ratio
1 Low vol,0.017530775325570926,3.995019632194127,0.61731843575419,358,int_coverage
2 Mid,0.013877619766409052,1.7773300974524233,0.5586592178770949,358,int_coverage
3 High vol,0.04667750892252918,4.09450890840423,0.61731843575419,358,int_coverage
1 Low vol,-0.012143295188179328,-1.6032046218547176,0.5083798882681564,358,log_mktcap
2 Mid,-0.017972893718116594,-2.152197584218023,0.4748603351955307,358,log_mktcap
3 High vol,0.012847920005363646,1.3389044111120014,0.5335195530726257,358,log_mktcap
1 Low vol,0.019477378306070978,3.5323984336981344,0.5307262569832403,358,vol_12m
2 Mid,8.072740474336175e-4,0.12940883880216283,0.44692737430167595,358,vol_12m
3 High vol,-0.03881191589574112,-2.4379048087326423,0.35195530726256985,358,vol_12m
1 Low vol,0.004992925428167698,0.9516533471683039,0.5307262569832403,358,turnover
2 Mid,-0.01453050566516531,-1.7018591101827838,0.41899441340782123,358,turnover
3 High vol,0.011650619227470984,0.660612574354371,0.4245810055865922,358,turnover
1 Low vol,0.030851832030933286,3.972175279031578,0.6340782122905028,358,mom_12_1
2 Mid,0.04071061538128625,3.552431608907931,0.6480446927374302,358,mom_12_1
3 High vol,-0.010078466731728965,-0.484372378431953,0.5754189944134078,358,mom_12_1
1 Low vol,0.02241605777611912,3.051571050328846,0.6452513966480447,358,mom_6_1
2 Mid,0.031323191346449175,2.9325627250171933,0.6256983240223464,358,mom_6_1
3 High vol,0.04109210405287003,2.028068252054094,0.6145251396648045,358,mom_6_1
1 Low vol,-5.191894316228429e-4,-0.10233798417633432,0.5111731843575419,358,mom_1m
2 Mid,0.018435183779381092,2.28135474375211,0.55027932960893855,358,mom_1m
3 High vol,0.03215430392837842,2.1737672559445054,0.5865921787709497,358,mom_1m
