factor,t_stat,n_obs,w,form_date
fcfp,2.5234408652677396,88,0.21195279185158514,2001-09-30
gross_margin,1.9412769694102103,88,0.16305477139842628,2001-09-30
int_coverage,-0.03889195197052793,88,0,2001-09-30
rev_growth,0.29708259382297747,77,0.024953025861618374,2001-09-30
roa,-0.11831416253845486,77,0,2001-09-30
roe,-0.12153524142893533,77,0,2001-09-30
sp,-0.9805793812141496,88,0,2001-09-30
accruals,2.8814573879760625,78,0.22124425974856424,2001-10-31
asset_growth,2.1414564566122833,78,0.16442545723702506,2001-10-31
bp,-0.6041561867486169,89,0,2001-10-31
cash_ratio,-0.9283665847175336,89,0,2001-10-31
current_ratio,-0.4902515635904981,89,0,2001-10-31
ebitda_ev,-0.1605710171110859,89,0,2001-10-31
ep,-0.06959003854538146,89,0,2001-10-31
fcf_growth,2.2866955207359374,76,0.17557721306818888,2001-10-31
fcfp,2.7233865752177975,89,0.20910725570939614,2001-10-31
gross_margin,2.0353417209156195,89,0.15627774828752247,2001-10-31
int_coverage,0.17955270830175546,89,0.013786428423282928,2001-10-31
rev_growth,0.5913013790747248,78,0.04540134323956883,2001-10-31
roa,0.12757532960684254,78,0.009795497750140405,2001-10-31
roe,0.05710703811562798,78,0.004384796536310991,2001-10-31
sp,-0.787820236292067,89,0,2001-10-31
accruals,2.4246327531734084,79,0.1651809099741028,2001-11-30
asset_growth,2.3883419171834563,79,0.16270855480827598,2001-11-30
bp,-0.24693798438932507,90,0,2001-11-30
cash_ratio,-0.627287039494745,90,0,2001-11-30
current_ratio,-0.17334895141891132,90,0,2001-11-30
ebitda_ev,0.12232379675434916,90,0.008333450099989436,2001-11-30
ep,0.2606955753216226,90,0.01776018751767151,2001-11-30
fcf_growth,2.338210763259783,77,0.1592933119793048,2001-11-30
fcfp,2.9294947032775926,90,0.19957521410958975,2001-11-30
gross_margin,2.204773224182952,90,0.150202725332495,2001-11-30
int_coverage,0.471072218891416,90,0.03209233962469646,2001-11-30
rev_growth,0.9139891814649337,79,0.06226656985610125,2001-11-30
roa,0.42693058352461255,79,0.029085139673243787,2001-11-30
roe,0.19818521626351596,79,0.013501597024529115,2001-11-30
sp,-0.47302618259107615,90,0,2001-11-30
