x1,x2,yhat
0.5409090909090909,0.459090909090909,0.05964865535951012
0.5409090909090909,0.5409090909090909,0.06208168252998639
0.5409090909090909,0.6227272727272727,0.061506859929899245
0.5409090909090909,0.7045454545454545,0.05741480390576006
0.5409090909090909,0.7863636363636363,0.0586818546755822
0.5409090909090909,0.868181818181818,0.05891259675323078
0.5409090909090909,0.95,0.06210877427575734
0.6227272727272727,0.05,0.05608974351597534
0.6227272727272727,0.1318181818181818,0.05608974351597534
0.6227272727272727,0.21363636363636362,0.05608863892642377
0.6227272727272727,0.2954545454545454,0.05608863892642377
0.6227272727272727,0.3772727272727272,0.05602136473361006
0.6227272727272727,0.459090909090909,0.05743807856205661
0.6227272727272727,0.5409090909090909,0.0598711058757859
0.6227272727272727,0.6227272727272727,0.05929628348733096
0.6227272727272727,0.7045454545454545,0.053848654975738666
0.6227272727272727,0.7863636363636363,0.05511570521033214
0.6227272727272727,0.868181818181818,0.05464004754070943
0.6227272727272727,0.95,0.05778235953911839
0.7045454545454545,0.05,0.05453624674651696
0.7045454545454545,0.1318181818181818,0.05453624674651696
0.7045454545454545,0.21363636363636362,0.054535142156965394
0.7045454545454545,0.2954545454545454,0.054535142156965394
0.7045454545454545,0.3772727272727272,0.052476956078396225
0.7045454545454545,0.459090909090909,0.05274916511078335
0.7045454545454545,0.5409090909090909,0.05518219271993985
0.7045454545454545,0.6227272727272727,0.05460737031529792
0.7045454545454545,0.7045454545454545,0.049311367188391186
0.7045454545454545,0.7863636363636363,0.050223405600401595
0.7045454545454545,0.868181818181818,0.04845986939181785
0.7045454545454545,0.95,0.04822620488184753
0.7863636363636363,0.05,0.03976025958188997
0.7863636363636363,0.1318181818181818,0.03976025958188997
0.7863636363636363,0.21363636363636362,0.039759154992338265
0.7863636363636363,0.2954545454545454,0.039759154992338265
0.7863636363636363,0.3772727272727272,0.03770096857217214
0.7863636363636363,0.459090909090909,0.03683261265404696
0.7863636363636363,0.5409090909090909,0.03564305337838215
0.7863636363636363,0.6227272727272727,0.03249224471541664
0.7863636363636363,0.7045454545454545,0.025934211398180196
0.7863636363636363,0.7863636363636363,0.030974951785560215
0.7863636363636363,0.868181818181818,0.028715059857085282
0.7863636363636363,0.95,0.021339456929049205
0.868181818181818,0.05,0.02694415649031777
0.868181818181818,0.1318181818181818,0.02694415649031777
0.868181818181818,0.21363636363636362,0.026943051898903187
0.868181818181818,0.2954545454545454,0.026943051898903187
0.868181818181818,0.3772727272727272,0.024884865519351138
0.868181818181818,0.459090909090909,0.023619956823823535
0.868181818181818,0.5409090909090909,0.020427247650678368
